Type,Description,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg
Breakfast Cereals,"Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spice, dry",10.39,5.1,74.52,21.14,8.2,440
Vegetables and Vegetable Products,"Corn, sweet, yellow, canned, vacuum pack, no salt added",2.41,0.5,19.44,3.56,2,4
Vegetables and Vegetable Products,"Carrots, cooked, boiled, drained, without salt",0.76,0.18,8.22,3.45,3,852
Poultry Products,"Chicken, broilers or fryers, dark meat, meat only, cooked, roasted",27.37,9.73,0,0,0,22
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS",5.6,5.2,83.7,37.2,5.7,527
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP",5.2,4.4,84.5,34.8,5.1,546
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate",5.8,5.09,83.5,34.09,6.2,533
Vegetables and Vegetable Products,"Squash, winter, all varieties, raw",0.95,0.13,8.59,2.2,1.5,68
Poultry Products,"Chicken, broilers or fryers, meat and skin, cooked, stewed",24.68,12.56,0,0,0,44
Fruits and Fruit Juices,"Oranges, raw, navels",0.91,0.15,12.54,8.5,2.2,12
Fruits and Fruit Juices,"Apples, raw, fuji, with skin",0.2,0.18,15.22,11.68,2.1,2
Poultry Products,"Turkey, dark meat from whole, meat and skin, cooked, roasted",27.27,9.95,0.07,0,0,14
Fruits and Fruit Juices,"Figs, canned, water pack, solids and liquids",0.4,0.1,13.99,11.79,2.2,2
Vegetables and Vegetable Products,"Cowpeas (blackeyes), immature seeds, raw",2.95,0.35,18.83,3,5,41
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, Honey KIX",6.4,3.9,83,18.2,8.3,868
Vegetables and Vegetable Products,"Waterchestnuts, chinese, canned, solids and liquids",0.88,0.06,12.3,2.46,2.5,0
Vegetables and Vegetable Products,"Vegetables, mixed, canned, drained solids",2.59,0.25,9.26,2.41,3,583
Poultry Products,"Chicken, broilers or fryers, back, meat and skin, cooked, stewed",22.18,18.14,0,0,0,88
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, Fruity CHEERIOS",5.8,4.59,84.19,32.2,5.9,534
